filter,d_bets,d_hit_rate,d_return_rate,e_bets,e_hit_rate,e_return_rate,robust
wl_odds_8_20,74,9.5,103.5,41,9.8,116.1,Y
wl_odds_8_20_ex_tentative,74,9.5,103.5,41,9.8,116.1,Y
wl_odds_8_20_pop_4_8,67,9.0,101.2,37,10.8,128.6,Y
wl_odds_7_22,100,9.0,91.3,59,10.2,106.6,Y
wl_odds_8_25,85,8.2,90.1,43,9.3,110.7,Y
wl_ex_unsure_pop_1_4,166,31.3,86.3,105,34.3,89.0,Y
wl_pop_4_6,96,10.4,99.5,49,10.2,82.7,Y
wl_odds_6_20,128,8.6,81.5,76,9.2,91.6,Y
wl_ex_unsure,184,28.8,83.9,115,31.3,81.3,Y
wl_pop_4_8,118,8.5,80.9,57,12.3,122.1,Y
wl_odds_9_25,73,6.8,80.8,34,8.8,116.5,Y
wl_odds_2_5,259,25.5,80.7,180,27.8,84.2,Y
wl_odds_10_20,51,5.9,79.6,27,11.1,146.7,n
wl_odds_5_10,118,11.0,77.4,66,12.1,78.0,n
wl_pop_1_2,341,30.8,77.2,211,32.7,79.7,n
wl_pop_1_3,410,27.8,75.8,257,30.0,80.6,n
whitelist_only,547,22.7,74.3,326,25.8,84.9,n
wl_ex_tentative,547,22.7,74.3,326,25.8,84.9,n
wl_odds_2_8_pop_1_3,320,22.2,73.9,211,25.6,82.0,n
wl_odds_5_15,154,9.7,73.4,80,12.5,94.4,n
wl_pop_4_10,131,7.6,72.9,61,11.5,114.1,n
odds_10_20,194,7.2,104.1,85,5.9,72.6,n
odds_2_5,971,24.7,74.3,609,21.2,64.1,n
all,2016,21.7,70.2,1164,19.9,60.8,n
wl_odds_5_15_pop_1_4,110,9.1,59.7,51,15.7,101.0,n
non_wl,1469,21.3,68.7,838,17.7,51.5,n
wl_odds_20_50,30,0.0,0.0,7,0.0,0.0,n
wl_pop_7_plus,41,0.0,0.0,17,11.8,171.2,n
wl_odds_8_20_ex_unsure,17,5.9,65.3,7,0.0,0.0,n
wl_pop_5_9_ex_unsure,16,6.2,69.4,9,0.0,0.0,n
